address,size,name,unit
0x00406310,328,run_main_game_session,GAME.CPP
0x00406460,802,apply_startup_command_line_switches,SHELL/OPTIONS.CPP
0x00406790,275,compare_switch_name_case_insensitive,SHELL/OPTIONS.CPP
0x00406AD0,86,encode_level_progress_password_value,GAME.CPP
0x00406B30,108,apply_level_progress_password_value,GAME.CPP
0x00406BA0,24,compute_level_password_checksum,GAME.CPP
0x00406C00,150,format_level_progress_password,GAME.CPP
0x00406D80,68,parse_level_password_digits,GAME.CPP
0x00406DF0,939,initialize_main_game_context,GAME.CPP
0x004071D0,303,shutdown_main_game_context,GAME.CPP
0x00407300,164,is_valid_resource_file,GAME.CPP
0x004073B0,57,ensure_main_game_variant_resource_mode,GAME.CPP
0x004073F0,37,release_main_game_variant_resource_mode,GAME.CPP
0x00407420,886,switch_main_game_mode,GAME.CPP
0x004077E0,268,update_main_game_active_mode,GAME.CPP
0x004078F0,93,present_main_game_frame,GAME.CPP
0x00407950,140,run_main_game_loop,GAME.CPP
0x00407E40,47,delete_formatted_output_stream,LEVEL/LEVELVT.CPP
0x00407E80,69,delete_fixed_buffer_formatted_output_stream,LEVEL/LEVELVT.CPP
0x00408090,52,reset_level_frame_clock,LEVEL/LEVELRUN.CPP
0x004080D0,180,advance_level_frame_clock,LEVEL/LEVELRUN.CPP
0x00408190,43,update_level_frame_clock_from_network_time,LEVEL/LEVELRUN.CPP
0x00408240,1387,load_level_chunks_for_skill_and_level,ENGINE/CORE/LINKSCF.CPP
0x00408850,676,read_level_metadata_for_skill_and_level,LEVEL/LEVELRUN.CPP
0x00408E60,76,select_next_level_pack_progress,GAME.CPP
0x00408EC0,86,advance_four_state_cycle_and_clear_flag,GAME.CPP
0x00408F30,84,get_level_pack_level_count,GAME.CPP
0x00409150,43,create_frame_timer_controller,LEVEL/DEMO.CPP
0x00409180,33,destroy_frame_timer_controller,LEVEL/DEMO.CPP
0x00409250,503,dispatch_level_demo_events_for_frame,LEVEL/DEMO.CPP
0x00409460,245,load_next_level_demo_record_buffer,LEVEL/DEMO.CPP
0x00409560,122,read_level_demo_length_prefixed_record,LEVEL/DEMO.CPP
0x00409620,63,service_level_demo_playback,LEVEL/DEMO.CPP
0x00409660,64,release_level_demo_record_buffer,LEVEL/DEMO.CPP
0x004096B0,75,filter_level_demo_playback_input_event,LEVEL/DEMO.CPP
0x00409930,589,build_special_level_tile_grid_static_render_entries,LEVEL/LEVELRUN.CPP
